name=nojuf, (x,y,z)=(716,449,96), parent=le, mom=0, depth=3
name=wqyu, (x,y,z)=(459,621,112), parent=le, mom=0, depth=3
name=ixq, (x,y,z)=(662,97,135), parent=le, mom=0, depth=3
name=skx, (x,y,z)=(158,566,491), parent=dau, mom=0, depth=3
name=kp, (x,y,z)=(85,95,471), parent=dau, mom=0, depth=3
name=gyeod, (x,y,z)=(530,310,116), parent=dau, mom=341, depth=3
name=ajfvl, (x,y,z)=(128,315,174), parent=dau, mom=283, depth=3
name=mnr, (x,y,z)=(144,556,310), parent=dau, mom=147, depth=3
name=ntp, (x,y,z)=(16,615,274), parent=dau, mom=183, depth=3
name=xs, (x,y,z)=(28,332,341), parent=dau, mom=116, depth=3
name=lqetv, (x,y,z)=(920,43,65), parent=th, mom=328, depth=3
name=aecec, (x,y,z)=(782,110,106), parent=th, mom=287, depth=3
name=kbm, (x,y,z)=(636,262,344), parent=th, mom=49, depth=3
name=teau, (x,y,z)=(701,481,279), parent=th, mom=114, depth=3
name=wtxfk, (x,y,z)=(898,194,109), parent=th, mom=284, depth=3
name=vhj, (x,y,z)=(695,576,69), parent=byfey, mom=0, depth=4
name=hzei, (x,y,z)=(570,392,144), parent=byfey, mom=0, depth=4
name=lp, (x,y,z)=(240,269,19), parent=byfey, mom=21, depth=4
name=zhnf, (x,y,z)=(513,446,101), parent=ajfvl, mom=73, depth=4
name=wwfp, (x,y,z)=(332,715,184), parent=ajfvl, mom=0, depth=4
name=bnib, (x,y,z)=(137,445,172), parent=ajfvl, mom=2, depth=4
name=fio, (x,y,z)=(503,878,252), parent=rcszr, mom=71, depth=4
name=de, (x,y,z)=(479,230,282), parent=rcszr, mom=41, depth=4
name=dyoi, (x,y,z)=(328,296,288), parent=rcszr, mom=35, depth=4
name=cxemb, (x,y,z)=(456,258,338), parent=rcszr, mom=0, depth=4
name=gwsgp, (x,y,z)=(591,659,172), parent=rcszr, mom=151, depth=4
name=ys, (x,y,z)=(175,809,45), parent=sbq, mom=21, depth=4
name=jcwo, (x,y,z)=(328,647,32), parent=sbq, mom=34, depth=4
name=sdb, (x,y,z)=(278,723,18), parent=ttn, mom=97, depth=4
name=ejnoz, (x,y,z)=(78,729,160), parent=ttn, mom=0, depth=4
name=mh, (x,y,z)=(304,86,11), parent=ttn, mom=104, depth=4
name=hexp, (x,y,z)=(217,602,213), parent=yvr, mom=0, depth=4
name=blx, (x,y,z)=(158,830,7), parent=yvr, mom=185, depth=4
name=idm, (x,y,z)=(194,208,138), parent=yvr, mom=54, depth=4
name=fplmj, (x,y,z)=(187,477,295), parent=orckg, mom=101, depth=4
name=evuw, (x,y,z)=(231,663,183), parent=orckg, mom=213, depth=4
name=gc, (x,y,z)=(516,720,257), parent=orckg, mom=139, depth=4
name=padel, (x,y,z)=(789,848,13), parent=orckg, mom=383, depth=4
name=kkl, (x,y,z)=(563,281,96), parent=orckg, mom=300, depth=4
name=pctrj, (x,y,z)=(655,480,359), parent=orckg, mom=37, depth=4
name=lmjbd, (x,y,z)=(578,663,256), parent=orckg, mom=140, depth=4
name=toe, (x,y,z)=(462,517,42), parent=orckg, mom=354, depth=4
name=fih, (x,y,z)=(780,549,12), parent=orckg, mom=384, depth=4
name=foj, (x,y,z)=(768,614,91), parent=orckg, mom=305, depth=4
